structure_id,series_id,similarity_cluster_id,similarity_cluster_size,similarity_cluster_representative
STR-00A1D39E2CC2B5C8F906,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-00A2ED8561E7DE80CF5F,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-00EAB22F635715DE8799,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-01B5E6F5633C4AF7D768,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-02403E375D780F15C68E,SER-234F328ED82F6C63,CLU-7D4ABAB1699D63FA,2,STR-02403E375D780F15C68E
STR-025D3FCF7FCF0D4F8D78,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-026263DECB2C2D5066E0,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-0298F7259BA97653A4EC,SER-789386810AA6A1B8,CLU-371107EAA4C97153,2,STR-0298F7259BA97653A4EC
STR-02EB512B892EF622930F,SER-8B11BACADDC8B4B4,CLU-369E40B90B07000D,9,STR-B2BA33058BFAB9451C2F
STR-03825B6A51D0B0744A5D,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-0385B7365D2BE1443660,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-03A6B3C8922F75633A24,SER-0CFBA55DF63719F3,CLU-B67275E4621D323B,8,STR-4DD88D5839EF83BB667C
STR-0449028356C19D0EDA3B,SER-6F3389DAFB00746E,CLU-647E633103D7CD1C,2,STR-0449028356C19D0EDA3B
STR-04F547F3C923840AF4FD,SER-AE3E1FF304601017,CLU-B67275E4621D323B,8,STR-4DD88D5839EF83BB667C
STR-062343CE45A5FA8286D4,SER-7316D5A44E17908B,CLU-54C86C60B0A372CD,30,STR-CFD47A4A9C12D7F7E3C6
STR-06E53FF33324D9B1A44A,SER-317158EDAD8598EE,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-070A2DB3A5A9041ED5EA,SER-8B11BACADDC8B4B4,CLU-426D02ED5BFF1983,10,STR-BD3C32C55755152AB6D1
STR-072FE59E687806FA7B3E,SER-2C16C2D45BAC162E,CLU-D05EB6AB0B00E296,13,STR-072FE59E687806FA7B3E
STR-073AD85CF5EE1E9C87AB,SER-20F67B855744F824,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-0762484A1F8E76578E66,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-077D7D9C480B1958E4A3,SER-7A71BD39A789D797,CLU-DFDE0EB637DE6F53,6,STR-8D22035F518E37FF47A2
STR-079F3F9421D0EFF32E86,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-07CEA1A415CFED11C760,SER-317158EDAD8598EE,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-07E4D9678C4B52D2093A,SER-6F3389DAFB00746E,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-080A59F9B1BCF4DFA65B,SER-6F3389DAFB00746E,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-0855D8D007FB84375292,SER-54043CC4B0548697,CLU-4535641A19262E24,3,STR-562B91EA5B528B52D63B
STR-08A590BAA6ADDB004EDA,SER-6F3389DAFB00746E,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-08F8459D1F8F16B6681D,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-09276AA2563E2F930001,SER-FBD8412D03D2F209,CLU-5FD0DDB00E1E9375,12,STR-8A96AEE3549DB26F33DD
STR-0929C2100723D6B883C0,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-094C702ADD088489F553,SER-964FF8D1C8B6CE70,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-094F554E2B0D3487D695,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-09808CFD40E7489BA72B,SER-D0CCC78DDD1F06F9,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-09E54D8A9B952AC86D2A,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-09F928DB426380AF84D4,SER-BA912CD03DBF5CE2,CLU-F0117CB494DDBB30,6,STR-E2BF2500F662553F3983
STR-0A56438F09B3E75AAE8B,SER-2C16C2D45BAC162E,CLU-D05EB6AB0B00E296,13,STR-072FE59E687806FA7B3E
STR-0AF48A7398AE4A10DB6D,SER-D0CCC78DDD1F06F9,CLU-4C66778D7AF47B56,9,STR-D4B228AA42C515EFF74F
STR-0B18427EF6CEB8CC075B,SER-FBD8412D03D2F209,CLU-5FD0DDB00E1E9375,12,STR-8A96AEE3549DB26F33DD
STR-0B3A10F091CFA83F82BC,SER-725533906D2EDF46,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-0B3BEA2BCB592D1DDA40,SER-317158EDAD8598EE,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-0B5E0ED39466F3487654,SER-B53BB290E6C8D9C2,CLU-775CB5B99A0F47E4,1,STR-0B5E0ED39466F3487654
STR-0B6B013EF83E068B0788,SER-F84D47EB2771E4F6,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-0BCBBE5537E8A8D227ED,SER-B4D8CD753C9090B0,CLU-5C1BBDED89109C22,3,STR-0BCBBE5537E8A8D227ED
STR-0C136D4784FF4E1D4A7F,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-0C1A3C79DDA24756CB7A,SER-D0CCC78DDD1F06F9,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-0C1D3CBEB06D4D0E10FA,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-0C41A5E0103FBE24922F,SER-725533906D2EDF46,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-0C77A21AB4DE90C1EA09,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-0E18A32C09E2471DF027,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-0EB8573BEAC1C0A492BB,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-0EB9DFE3F3CFA3016388,SER-3EF48CA9249A86FC,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-0F9EB3D0BA8F609CF473,SER-D71DF828C6360796,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-0FC172F4903F344CAD3C,SER-13C58FCF8A37F10D,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-104DDD12D2A71EF11558,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-1098388DEC1F7C6AA87D,SER-3DE3A00BD16043E0,CLU-7544796D1BA53F3F,9,STR-57B02C455F0090B0D259
STR-10AE5FE75F08293C000F,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
